,date,company,profit,quarter
0,2022-04-25,ACLBSL,49.2,3
1,2022-01-25,ACLBSL,43.53,2
2,2021-11-15,ACLBSL,14.77,1
3,2021-08-04,ACLBSL,117.93,4
4,2021-04-25,ACLBSL,78.33,3
5,2021-01-27,ACLBSL,62.41,2
6,2020-11-05,ACLBSL,12.97,1
7,2020-08-10,ACLBSL,32.26,4
8,2022-05-03,AKBSL,34.83,3
9,2022-01-31,AKBSL,24.62,2
10,2021-11-10,AKBSL,9.34,1
11,2021-08-09,AKBSL,41.05,4
12,2021-04-29,AKBSL,29.05,3
13,2021-02-05,AKBSL,18.01,2
14,2020-11-13,AKBSL,6.6,1
15,2020-08-18,AKBSL,21.02,4
16,2020-05-16,AKBSL,11.78,3
17,2020-02-05,AKBSL,8.86,2
18,2019-11-18,AKBSL,2.99,1
19,2019-09-09,AKBSL,15.88,4
20,2019-07-01,AKBSL,11.19,3
21,2019-01-02,AKBSL,4.55,2
22,2019-01-01,AKBSL,1.82,1
23,2020-05-04,AMFI,40.0,3
24,2020-01-27,AMFI,8.19,2
25,2019-11-07,AMFI,3.22,1
26,2019-08-05,AMFI,11.89,4
27,2019-05-08,AMFI,7.66,3
28,2019-02-06,AMFI,3.15,2
29,2018-11-11,AMFI,-0.92,1
30,2018-08-09,AMFI,2.01,4
31,2022-04-21,ALBSL,120.01,3
32,2022-01-25,ALBSL,87.38,2
33,2021-11-01,ALBSL,42.39,1
34,2021-08-01,ALBSL,127.14,4
35,2021-01-31,ALBSL,70.01,2
36,2020-11-13,ALBSL,-0.95,1
37,2020-08-09,ALBSL,38.1,4
38,2020-05-04,ALBSL,29.02,3
39,2020-01-30,ALBSL,27.07,2
40,2019-11-01,ALBSL,9.81,1
41,2019-07-26,ALBSL,39.17,4
42,2019-04-28,ALBSL,14.55,3
43,2019-02-06,ALBSL,8.16,2
44,2018-11-02,ALBSL,2.67,1
45,2018-08-05,ALBSL,11.03,4
46,2018-04-24,ALBSL,0.00445,3
47,2018-02-13,ALBSL,-2.67,2
48,2017-11-16,ALBSL,-3.78,1
49,2017-08-18,ALBSL,-12.82,4
50,2017-05-06,ALBSL,-7.66,3
51,2022-05-09,CBBL,717.7,3
52,2022-02-04,CBBL,498.44,2
53,2021-11-15,CBBL,214.1,1
54,2021-08-04,CBBL,1210.0,4
55,2021-04-27,CBBL,955.96,3
56,2021-02-02,CBBL,615.49,2
57,2020-11-13,CBBL,64.58,1
58,2020-08-16,CBBL,649.24,4
59,2020-05-12,CBBL,597.89,3
60,2020-02-03,CBBL,481.63,2
61,2019-11-10,CBBL,222.61,1
62,2019-08-15,CBBL,920.71,4
63,2019-04-30,CBBL,643.02,3
64,2019-02-03,CBBL,392.35,2
65,2018-11-14,CBBL,156.16,1
66,2018-08-06,CBBL,663.89,4
67,2018-05-07,CBBL,358.19,3
68,2018-02-10,CBBL,215.94,2
69,2017-11-15,CBBL,80.67,1
70,2017-08-09,CBBL,576.41,4
71,2017-05-06,CBBL,443.74,3
72,2017-02-08,CBBL,295.69,2
73,2016-11-13,CBBL,126.65,1
74,2016-08-13,CBBL,472.68,4
75,2016-05-02,CBBL,330.25,3
76,2016-02-02,CBBL,206.25,2
77,2015-11-07,CBBL,105.4,1
78,2022-04-21,CLBSL,52.81,3
79,2022-01-31,CLBSL,37.53,2
80,2021-11-03,CLBSL,15.57,1
81,2021-08-02,CLBSL,65.47,4
82,2021-04-29,CLBSL,48.18,3
83,2021-01-31,CLBSL,27.42,2
84,2020-11-12,CLBSL,4.06,1
85,2020-08-13,CLBSL,14.68,4
86,2020-05-05,CLBSL,155.44,3
87,2020-01-31,CLBSL,10.06,2
88,2019-10-25,CLBSL,4.56,1
89,2019-08-09,CLBSL,16.38,4
90,2019-04-28,CLBSL,11.63,3
91,2019-01-28,CLBSL,7.42,2
92,2018-11-01,CLBSL,2.47,1
93,2018-07-31,CLBSL,11.49,4
94,2018-04-26,CLBSL,8.29,3
95,2018-01-28,CLBSL,4.6,2
96,2017-11-08,CLBSL,1.8,1
97,2017-08-13,CLBSL,6.27,4
98,2017-02-07,CLBSL,3.37,2
99,2016-11-14,CLBSL,1.48,1
100,2016-08-10,CLBSL,3.75,4
101,2016-05-02,CLBSL,3.5,3
102,2016-02-03,CLBSL,2.34,2
103,2015-11-21,CLBSL,0.07,1
